Area_ID;Richness_total;Lat;Long
PAR;12;-23.359301;-48.803653
ALV;13;-22.474280;-49.749979
CSA;9;-22.222088;-52.221241
PIC;13;-23.008729;-46.204083
PIA;15;-21.567842;-50.740379
PIR;13;-22.775076;-47.832246
CPT;13;-20.375792;-47.397700
IPO;7;-23.442169;-47.640181
BUR;8;-20.224172;-47.746900
VGL;12;-20.398058;-50.153622
CHA;9;-22.453434;-47.835358
SPT;9;-22.682177;-49.633313
ANH;10;-22.848165;-48.243258
COR;11;-22.253058;-47.618698
CUN;8;-23.040240;-44.948700
ITA;17;-23.172049;-48.612291
BAG;13;-22.907075;-47.966791
BOT;11;-22.821590;-48.417271
MLO;10;-22.954980;-45.796614
ATI;9;-23.191016;-46.507922
